,FOX DROP STORE,,,,,
,Pokémon B2B Wholesale Price List – Italy Stock,,,,,
,,,,,,
,🇮🇹 All products are shipped directly from our warehouse in Italy.,,,,,
,🇪🇺 All Price are with 0% Vat (Reverse Charge),,,,,
,🚚 Free shipping on orders over €300.,,,,,
,💰Discount Available on Large Volume,,,,,
,,,,,,
Photo,Product,Configuration,Price Per Box ,Status,,
,Dream Painting V4 30th Anniversary,1 Case / 12 Box,€26.00,🟡 Preorder - Early October ,,
,151 Magnet V1,1 Case / 10 Box,€10.00,🟢 In Stock,,
,151 Hope Coin V2,1 Case / 12 Box,€11.00,🟢 In Stock,,
,151 Surprise Coin V3,Box,€16.00,🔴 Sold Out,,
,151 Gathering Coin V4,1 Case / 12 Box,€11.00,🟢 In Stock,,
,Paldea Trainer Keychain ,1 Case 10 Box,€9.00,🟢 In Stock,,
,Paldea Trainer Battle ,1 Case 10 Box,€11.00,🟢 In Stock,,
,Gem Pack Coin Badge,1 Case 12 Box,€14.00,🟢 In Stock,,
,CSV10 Coin,1 Case 30 Box,€9.00,🟢 In Stock,,
,CSV9 Coin,1 Case 30 Box,€9.00,🟢 In Stock,,
,CSV8 Coin,1 Case 30 Box,€7.00,🟢 In Stock,,
,CSV7 Coin,1 Case 30 Box,€7.00,🟢 In Stock,,
,Pikachu V-Union,1 Case / 6 Box,€20.00,🟢 In Stock,,
,Trainer Gift Box,1 Case / 7 Box,€12.00,🟢 In Stock,,
,Giratina Frame,1 Case / 6 Box,€14.00,🔴 Sold Out,,
,Lugia Frame,1 Case / 6 Box,€14.00,🟢 In Stock,,
,Lucario Frame,1 Case / 6 Box,€11.00,🟢 In Stock,,
,Typlhosion Frame,1 Case / 6 Box,€11.00,🟢 In Stock,,
,Mew Frame,1 Case / 6 Box,€15.00,🟢 In Stock,$,
,Umbreon Frame,1 Case / 6 Box,€22.00,🟢 In Stock,,
,CS4 Deck 100,1 Case / 10 Box,€7.00,🟢 In Stock,,
,CS5 Vstar Deck 100,1 Case / 12 Box,€7.00,🟢 In Stock,,
,Paldea Coin V2,1 Case / 10 Box,€7.00,🟢 In Stock,,
,Paldea Coin V1,1 Case / 10 Box,€7.00,🟢 In Stock,,
,MegaBall 3.0 Primordial Arts,1 Case / 12 Box,€10.00,🟢 In Stock,,
,Pokeball 3.0 Primordial Arts,1 Case / 12 Box,€10.00,🟢 In Stock,,
,Mewtwo V-Union,1 Case / 12 Box,€15.00,🟢 In Stock,,
,Greninja V-Union,1 Case / 12 Box,€14.00,🟢 In Stock,,
,Zacian V-Union,1 Case / 12 Box,€13.00,🟢 In Stock,,
,Return of Dragons Necrozma Gift Box,1 Case / 6 Box,€65.00,🟢 In Stock,,7
,Return of Dragons Rayquaza Gift Box,1 Case / 6 Box,€70.00,🟢 In Stock,,7
,Marnie Determination Gift Box,1 Case / 5 Box,€94.00,🟡 Preorder - Mid October ,,
